Token,Actual Tag,Predicted Tag
sink,I-ATTRIBUTE,I-ATTRIBUTE
hi,O,O
",",O,O
i,O,O
was,O,O
looking,O,O
a,O,O
free,I-ATTRIBUTE,I-ATTRIBUTE
standing,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
yesterday,O,I-PRODUCT
for,O,O
$,I-PRICE,I-PRICE
650,I-PRICE,I-PRICE
",",O,O
it,O,O
was,O,O
on,O,O
for,O,O
50,O,I-SIZE
%,O,I-SIZE
off,O,O
.,O,O
i,O,O
do,O,O
n't,O,O
see,O,O
it,O,O
now,O,O
",",O,O
is,O,O
it,O,O
still,O,O
on,O,O
sale,O,O
?,O,O
looking,O,O
for,O,O
a,O,O
large,I-SIZE,I-SIZE
free,I-ATTRIBUTE,I-ATTRIBUTE
standing,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
.,O,O
..,O,O
...,O,O
not,O,O
acrylic,I-N-MATERIAL,O
or,O,O
fiberglass,I-N-MATERIAL,I-N-ATTRIBUTE
i,O,O
do,O,O
n't,O,O
want,O,O
a,O,O
complete,O,I-N-PRODUCT
vanity,I-N-PRODUCT,I-N-PRODUCT
just,O,O
the,O,O
top,I-PRODUCT,I-PRODUCT
hi,O,O
.,O,O
..,O,O
never,O,O
been,O,O
to,O,O
your,O,O
store,O,O
",",O,O
looking,O,O
for,O,O
vinyl,I-MATERIAL,I-PRODUCT
wardrobe,I-PRODUCT,I-PRODUCT
do,O,O
not,O,O
know,O,O
if,O,O
you,O,O
carry,O,O
those,O,O
.,O,O
..,O,O
thanks,O,O
thank,O,O
you,O,O
very,O,O
much,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
stall,I-PRODUCT,I-PRODUCT
kit,I-PRODUCT,I-PRODUCT
that,O,O
is,O,O
not,O,O
priced,I-N-PRICE,I-N-PRICE
to,I-N-PRICE,O
high,I-N-PRICE,O
it,O,O
's,O,O
for,O,O
a,O,O
basement,O,O
t,I-PRODUCT,O
-,I-PRODUCT,O
shirt,I-PRODUCT,I-PRODUCT
without,O,O
logo,I-N-ATTRIBUTE,I-N-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
no,O,O
side,I-N-ATTRIBUTE,I-N-ATTRIBUTE
panels,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
heated,I-ATTRIBUTE,I-ATTRIBUTE
air,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
water,I-ATTRIBUTE,I-ATTRIBUTE
netted,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
.,O,O
bathtub,I-PRODUCT,I-PRODUCT
with,O,O
jets,I-ATTRIBUTE,O
hello,O,O
",",O,O
what,O,O
is,O,O
the,O,O
biggest,I-SIZE,I-SIZE
blade,I-ATTRIBUTE,O
on,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
squeeze,I-PRODUCT,I-PRODUCT
that,O,O
you,O,O
carry,O,O
?,O,O
?,O,O
looking,O,O
for,O,O
a,O,O
bathtub,I-PRODUCT,I-PRODUCT
left,I-ATTRIBUTE,I-PRODUCT
hand,I-ATTRIBUTE,I-PRODUCT
drain,I-ATTRIBUTE,I-PRODUCT
but,O,O
square,I-SHAPE,I-SHAPE
not,O,O
oval,I-N-SHAPE,I-N-SHAPE
do,O,O
you,O,O
sell,O,O
a,O,O
tub,I-PRODUCT,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
facet,I-PRODUCT,I-PRODUCT
set,I-PRODUCT,I-PRODUCT
that,O,O
does,O,O
not,O,O
have,O,O
the,O,O
anti,I-N-ATTRIBUTE,O
scale,I-N-ATTRIBUTE,O
feature,I-N-ATTRIBUTE,O
?,O,O
what,O,O
rectangular,I-SHAPE,I-SHAPE
shower,I-PRODUCT,I-PRODUCT
units,I-PRODUCT,I-PRODUCT
are,O,O
available,O,O
?,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
35,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
bathroom,I-PRODUCT,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
countertop,I-PRODUCT,I-PRODUCT
with,O,O
sink,I-ATTRIBUTE,I-ATTRIBUTE
i,O,O
'm,O,O
looking,O,O
f,O,O
or,O,O
a,O,O
black,I-COLOUR,I-COLOUR
matte,I-TEXTURE,I-PRODUCT
bathtub,I-PRODUCT,I-PRODUCT
double,I-PRODUCT,O
sliding,I-PRODUCT,O
door,I-PRODUCT,O
need,O,O
a,O,O
27,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
frameless,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
